lvl 	GB 0 	GB 1 	GB 2 	GB 3 	GB 4
70 	80:32:30 	16:06:30 	15:31:40 	14:58:10 	14:25:50
71 	82:05:00 	16:25:00 	15:49:30 	15:15:20 	14:42:20
72 	83:39:10 	16:43:50 	16:07:40 	15:32:50 	14:59:10
73 	85:14:10 	17:02:50 	16:26:00 	15:50:30 	15:16:20
74 	86:50:50 	17:22:10 	16:44:40 	16:08:30 	15:33:40
75 	88:29:10 	17:41:50 	17:03:30 	16:26:40 	15:51:10
76 	90:08:20 	18:01:40 	17:22:40 	16:45:10 	16:09:00
77 	91:49:10 	18:21:50 	17:42:10 	17:03:50 	16:27:00
78 	93:30:50 	18:42:10 	18:01:50 	17:22:50 	16:45:20
79 	95:14:10 	19:02:50 	18:21:50 	17:42:10 	17:03:50
80 	96:59:10 	19:23:50 	18:42:00 	18:01:40 	17:22:40
81 	98:45:50 	19:45:10 	19:02:30 	18:21:20 	17:41:40
82 	100:34:10 	20:06:50 	19:23:20 	18:41:30 	18:01:10
83 	102:23:20 	20:28:40 	19:44:30 	19:01:50 	18:20:40
84 	104:14:10 	20:50:50 	20:05:50 	19:22:30 	18:40:40
85 	106:06:40 	21:13:20 	20:27:30 	19:43:20 	19:00:50
86 	108:00:50 	21:36:10 	20:49:30 	20:04:30 	19:21:10
87 	109:56:40 	21:59:20 	21:11:50 	20:26:00 	19:42:00
88 	111:54:10 	22:22:50 	21:34:30 	20:47:50 	20:03:00
89 	113:53:20 	22:46:40 	21:57:30 	21:10:00 	20:24:20
90 	115:54:10 	23:10:50 	22:20:40 	21:32:30 	20:45:50
91 	117:55:50 	23:35:10 	22:44:20 	21:55:10 	21:07:50
92 	120:00:00 	24:00:00 	23:08:10 	22:18:10 	21:30:00
93 	122:05:50 	24:25:10 	23:32:30 	22:41:40 	21:52:40
94 	124:13:20 	24:50:40 	23:57:00 	23:05:20 	22:15:30
95 	126:23:20 	25:16:40 	24:22:00 	23:29:20 	22:38:40
96 	128:34:10 	25:42:50 	24:47:20 	23:53:40 	23:02:10
97 	130:47:30 	26:09:30 	25:13:00 	24:18:30 	23:26:00
98 	133:01:40 	26:36:20 	25:39:00 	24:43:30 	23:50:10
99 	135:18:20 	27:03:40 	26:05:20 	25:09:00 	24:14:40
100 	137:37:30 	27:31:30 	26:32:00 	25:34:40 	24:39:30
Suma 	6128:34:10 	1225:42:50 	1181:36:10 	1139:03:30 	1098:04:20



Czasy budowy przy G³ównym budynku na poziomach 4-8
lvl 	GB 4 	GB 5 	GB 6 	GB 7 	GB 8
1 	2:14:30 	2:09:30 	2:05:00 	2:00:30 	1:56:10
2 	2:20:50 	2:15:40 	2:10:50 	2:06:10 	2:01:30
3 	2:27:10 	2:22:00 	2:16:50 	2:11:50 	2:07:10
4 	2:33:50 	2:28:10 	2:22:50 	2:17:50 	2:12:50
5 	2:40:20 	2:34:40 	2:29:00 	2:23:40 	2:18:30
6 	2:47:10 	2:41:10 	2:35:20 	2:29:40 	2:24:20
7 	2:54:00 	2:47:40 	2:41:40 	2:35:50 	2:30:10
8 	3:00:50 	2:54:20 	2:48:00 	2:42:00 	2:36:10
9 	3:07:50 	3:01:10 	2:54:40 	2:48:20 	2:42:10
10 	3:15:00 	3:08:00 	3:01:10 	2:54:40 	2:48:20
11 	3:22:10 	3:14:50 	3:07:50 	3:01:10 	2:54:40
12 	3:29:30 	3:22:00 	3:14:40 	3:07:40 	3:01:00
13 	3:36:50 	3:29:10 	3:21:30 	3:14:20 	3:07:20
14 	3:44:30 	3:36:20 	3:28:30 	3:21:00 	3:13:50
15 	3:52:00 	3:43:40 	3:35:40 	3:27:50 	3:20:20
16 	3:59:50 	3:51:10 	3:42:50 	3:34:50 	3:27:00
17 	4:07:40 	3:58:40 	3:50:10 	3:41:50 	3:33:50
18 	4:15:30 	4:06:20 	3:57:30 	3:49:00 	3:40:40
19 	4:23:40 	4:14:10 	4:05:00 	3:56:10 	3:47:40
20 	4:31:50 	4:22:00 	4:12:30 	4:03:30 	3:54:40
21 	4:40:00 	4:30:00 	4:20:20 	4:10:50 	4:01:50
22 	4:48:30 	4:38:00 	4:28:00 	4:18:20 	4:09:10
23 	4:57:00 	4:46:20 	4:36:00 	4:26:00 	4:16:30
24 	5:05:40 	4:54:40 	4:44:00 	4:33:50 	4:24:00
25 	5:14:20 	5:03:00 	4:52:10 	4:41:40 	4:31:30
26 	5:23:10 	5:11:40 	5:00:20 	4:49:30 	4:39:10
27 	5:32:10 	5:20:20 	5:08:50 	4:57:40 	4:47:00
28 	5:41:20 	5:29:10 	5:17:10 	5:05:50 	4:54:50
29 	5:50:40 	5:38:00 	5:25:50 	5:14:10 	5:02:50
30 	6:00:00 	5:47:00 	5:34:30 	5:22:30 	5:11:00
31 	6:09:30 	5:56:10 	5:43:30 	5:31:00 	5:19:10
32 	6:19:10 	6:05:30 	5:52:20 	5:39:40 	5:27:30
33 	6:29:00 	6:15:00 	6:01:30 	5:48:30 	5:36:00
34 	6:38:50 	6:24:30 	6:10:40 	5:57:20 	5:44:30
35 	6:49:00 	6:34:10 	6:20:00 	6:06:20 	5:53:10
36 	6:59:10 	6:44:10 	6:29:30 	6:15:30 	6:02:00
37 	7:09:30 	6:54:00 	6:39:10 	6:24:50 	6:11:00
38 	7:20:00 	7:04:10 	6:48:50 	6:34:10 	6:20:00
39 	7:30:40 	7:14:30 	6:58:50 	6:43:40 	6:29:10
40 	7:41:30 	7:24:50 	7:08:50 	6:53:20 	6:38:30
41 	7:52:20 	7:35:20 	7:19:00 	7:03:10 	6:48:00
42 	8:03:30 	7:46:00 	7:29:20 	7:13:10 	6:57:30
43 	8:14:40 	7:56:50 	7:39:40 	7:23:10 	7:07:10
44 	8:26:10 	8:07:50 	7:50:20 	7:33:20 	7:17:10
45 	8:37:40 	8:19:00 	8:01:10 	7:43:50 	7:27:00
46 	8:49:20 	8:30:20 	8:12:00 	7:54:20 	7:37:10
47 	9:01:20 	8:41:50 	8:23:00 	8:05:00 	7:47:30
48 	9:13:20 	8:53:30 	8:34:10 	8:15:40 	7:57:50
49 	9:25:40 	9:05:10 	8:45:40 	8:26:40 	8:08:30
50 	9:38:00 	9:17:10 	8:57:10 	8:37:50 	8:19:10
51 	9:50:30 	9:29:20 	9:08:50 	8:49:00 	8:30:00
52 	10:03:20 	9:41:40 	9:20:40 	9:00:30 	8:41:00
53 	10:16:10 	9:54:00 	9:32:40 	9:12:00 	8:52:10
54 	10:29:20 	10:06:40 	9:44:50 	9:23:50 	9:03:30
55 	10:42:40 	10:19:30 	9:57:10 	9:35:40 	9:15:00
56 	10:56:10 	10:32:30 	10:09:40 	9:47:50 	9:26:40
57 	11:09:50 	10:45:40 	10:22:20 	10:00:00 	9:38:20
58 	11:23:40 	10:59:00 	10:35:20 	10:12:20 	9:50:20
59 	11:37:40 	11:12:30 	10:48:20 	10:25:00 	10:02:30
60 	11:51:50 	11:26:20 	11:01:30 	10:37:50 	10:14:50
61 	12:06:20 	11:40:10 	11:15:00 	10:50:40 	10:27:20
62 	12:21:00 	11:54:20 	11:28:40 	11:03:50 	10:40:00
63 	12:35:50 	12:08:40 	11:42:30 	11:17:10 	10:52:50
64 	12:51:00 	12:23:10 	11:56:20 	11:30:40 	11:05:50
65 	13:06:10 	12:37:50 	12:10:40 	11:44:20 	11:19:00
66 	13:21:40 	12:52:50 	12:25:00 	11:58:10 	11:32:20
67 	13:37:20 	13:08:00 	12:39:40 	12:12:10 	11:45:50
68 	13:53:20 	13:23:20 	12:54:20 	12:26:30 	11:59:40
69 	14:09:30 	13:38:50 	13:09:20 	12:41:00 	12:13:30
70 	14:25:50 	13:54:40 	13:24:40 	12:55:40 	12:27:40
71 	14:42:20 	14:10:40 	13:40:00 	13:10:30 	12:42:00
72 	14:59:10 	14:26:50 	13:55:40 	13:25:40 	12:56:40
73 	15:16:20 	14:43:20 	14:11:30 	13:40:50 	13:11:20
74 	15:33:40 	15:00:00 	14:27:40 	13:56:20 	13:26:20
75 	15:51:10 	15:17:00 	14:44:00 	14:12:10 	13:41:30
76 	16:09:00 	15:34:10 	15:00:30 	14:28:00 	13:56:50
77 	16:27:00 	15:51:30 	15:17:10 	14:44:10 	14:12:20
78 	16:45:20 	16:09:10 	15:34:10 	15:00:40 	14:28:10
79 	17:03:50 	16:27:00 	15:51:30 	15:17:10 	14:44:10
80 	17:22:40 	16:45:10 	16:09:00 	15:34:00 	15:00:30
81 	17:41:40 	17:03:30 	16:26:40 	15:51:10 	15:17:00
82 	18:01:10 	17:22:10 	16:44:40 	16:08:30 	15:33:40
83 	18:20:40 	17:41:00 	17:02:50 	16:26:00 	15:50:30
84 	18:40:40 	18:00:20 	17:21:20 	16:43:50 	16:07:40
85 	19:00:50 	18:19:40 	17:40:10 	17:02:00 	16:25:10
86 	19:21:10 	18:39:20 	17:59:10 	17:20:20 	16:42:50
87 	19:42:00 	18:59:20 	18:18:20 	17:38:50 	17:00:40
88 	20:03:00 	19:19:40 	18:38:00 	17:57:40 	17:18:50
89 	20:24:20 	19:40:10 	18:57:40 	18:16:50 	17:37:20
90 	20:45:50 	20:01:00 	19:17:50 	18:36:10 	17:56:00
91 	21:07:50 	20:22:10 	19:38:10 	18:55:50 	18:14:50
92 	21:30:00 	20:43:40 	19:58:50 	19:15:40 	18:34:10
93 	21:52:40 	21:05:20 	20:19:50 	19:35:50 	18:53:30
94 	22:15:30 	21:27:20 	20:41:00 	19:56:20 	19:13:20
95 	22:38:40 	21:49:40 	21:02:30 	20:17:10 	19:33:20
96 	23:02:10 	22:12:20 	21:24:20 	20:38:10 	19:53:40
97 	23:26:00 	22:35:20 	21:46:30 	20:59:30 	20:14:10
98 	23:50:10 	22:58:40 	22:09:00 	21:21:10 	20:35:00
99 	24:14:40 	23:22:20 	22:31:50 	21:43:10 	20:56:10
100 	24:39:30 	23:46:10 	22:54:50 	22:05:20 	21:17:40
Suma 	1098:04:20 	1058:31:50 	1020:25:30 	983:41:50 	948:17:50



Czasy budowy przy G³ównym budynku na poziomach 8-12
lvl 	GB 8 	GB 9 	GB 10 	GB 11 	GB 12
1 	1:56:10 	1:51:50 	1:47:50 	1:44:00 	1:40:20
2 	2:01:30 	1:57:10 	1:53:00 	1:49:00 	1:45:00
3 	2:07:10 	2:02:30 	1:58:10 	1:53:50 	1:49:50
4 	2:12:50 	2:08:00 	2:03:20 	1:59:00 	1:54:40
5 	2:18:30 	2:13:30 	2:08:40 	2:04:10 	1:59:40
6 	2:24:20 	2:19:10 	2:14:10 	2:09:20 	2:04:40
7 	2:30:10 	2:24:50 	2:19:40 	2:14:30 	2:09:40
8 	2:36:10 	2:30:30 	2:25:10 	2:20:00 	2:14:50
9 	2:42:10 	2:36:20 	2:30:50 	2:25:20 	2:20:10
10 	2:48:20 	2:42:20 	2:36:30 	2:30:50 	2:25:30
11 	2:54:40 	2:48:20 	2:42:20 	2:36:30 	2:30:50
12 	3:01:00 	2:54:20 	2:48:10 	2:42:00 	2:36:10
13 	3:07:20 	3:00:30 	2:54:00 	2:47:50 	2:41:50
14 	3:13:50 	3:06:50 	3:00:10 	2:53:40 	2:47:20
15 	3:20:20 	3:13:10 	3:06:10 	2:59:30 	2:53:00
16 	3:27:00 	3:19:40 	3:12:30 	3:05:30 	2:58:50
17 	3:33:50 	3:26:10 	3:18:40 	3:11:30 	3:04:40
18 	3:40:40 	3:32:50 	3:25:10 	3:17:40 	3:10:40
19 	3:47:40 	3:39:30 	3:31:30 	3:24:00 	3:16:40
20 	3:54:40 	3:46:20 	3:38:10 	3:30:20 	3:22:40
21 	4:01:50 	3:53:10 	3:44:50 	3:36:40 	3:28:50
22 	4:09:10 	4:00:10 	3:51:30 	3:43:10 	3:35:10
23 	4:16:30 	4:07:10 	3:58:20 	3:49:50 	3:41:30
24 	4:24:00 	4:14:30 	4:05:20 	3:56:30 	3:48:00
25 	4:31:30 	4:21:40 	4:12:20 	4:03:10 	3:54:30
26 	4:39:10 	4:29:10 	4:19:30 	4:10:10 	4:01:10
27 	4:47:00 	4:36:40 	4:26:40 	4:17:00 	4:07:50
28 	4:54:50 	4:44:10 	4:34:00 	4:24:10 	4:14:40
29 	5:02:50 	4:51:50 	4:41:20 	4:31:20 	4:21:30
30 	5:11:00 	4:59:40 	4:49:00 	4:38:30 	4:28:30
31 	5:19:10 	5:07:40 	4:56:30 	4:45:50 	4:35:40
32 	5:27:30 	5:15:40 	5:04:20 	4:53:20 	4:42:50
33 	5:36:00 	5:23:50 	5:12:10 	5:01:00 	4:50:10
34 	5:44:30 	5:32:10 	5:20:10 	5:08:40 	4:57:30
35 	5:53:10 	5:40:30 	5:28:10 	5:16:20 	5:05:00
36 	6:02:00 	5:49:00 	5:36:20 	5:24:20 	5:12:40
37 	6:11:00 	5:57:40 	5:44:40 	5:32:20 	5:20:20
38 	6:20:00 	6:06:20 	5:53:10 	5:40:30 	5:28:10
39 	6:29:10 	6:15:10 	6:01:40 	5:48:40 	5:36:10
40 	6:38:30 	6:24:10 	6:10:20 	5:57:00 	5:44:10
41 	6:48:00 	6:33:20 	6:19:10 	6:05:30 	5:52:20
42 	6:57:30 	6:42:30 	6:28:00 	6:14:00 	6:00:30
43 	7:07:10 	6:51:50 	6:37:00 	6:22:40 	6:09:00
44 	7:17:10 	7:01:20 	6:46:10 	6:31:30 	6:17:30
45 	7:27:00 	7:11:00 	6:55:30 	6:40:30 	6:26:10
46 	7:37:10 	7:20:40 	7:04:50 	6:49:40 	6:34:50
47 	7:47:30 	7:30:40 	7:14:30 	6:58:50 	6:43:40
48 	7:57:50 	7:40:40 	7:24:10 	7:08:10 	6:52:40
49 	8:08:30 	7:50:50 	7:33:50 	7:17:30 	7:01:50
50 	8:19:10 	8:01:10 	7:43:50 	7:27:10 	7:11:00
51 	8:30:00 	8:11:40 	7:54:00 	7:36:50 	7:20:30
52 	8:41:00 	8:22:20 	8:04:10 	7:46:40 	7:30:00
53 	8:52:10 	8:33:00 	8:14:30 	7:56:40 	7:39:40
54 	9:03:30 	8:44:00 	8:25:00 	8:06:50 	7:49:20
55 	9:15:00 	8:55:00 	8:35:40 	8:17:10 	7:59:20
56 	9:26:40 	9:06:10 	8:46:30 	8:27:40 	8:09:20
57 	9:38:20 	9:17:40 	8:57:30 	8:38:10 	8:19:30
58 	9:50:20 	9:29:10 	9:08:40 	8:48:50 	8:29:50
59 	10:02:30 	9:40:50 	9:19:50 	8:59:50 	8:40:20
60 	10:14:50 	9:52:40 	9:31:20 	9:10:50 	8:51:00
61 	10:27:20 	10:04:40 	9:43:00 	9:22:00 	9:01:40
62 	10:40:00 	10:16:50 	9:54:40 	9:33:20 	9:12:40
63 	10:52:50 	10:29:20 	10:06:40 	9:44:50 	9:23:40
64 	11:05:50 	10:41:50 	10:18:40 	9:56:30 	9:35:00
65 	11:19:00 	10:54:30 	10:31:00 	10:08:10 	9:46:20
66 	11:32:20 	11:07:20 	10:43:20 	10:20:10 	9:57:50
67 	11:45:50 	11:20:30 	10:56:00 	10:32:20 	10:09:40
68 	11:59:40 	11:33:40 	11:08:50 	10:44:40 	10:21:30
69 	12:13:30 	11:47:10 	11:21:40 	10:57:10 	10:33:30
70 	12:27:40 	12:00:50 	11:34:50 	11:09:50 	10:45:40
71 	12:42:00 	12:14:40 	11:48:10 	11:22:40 	10:58:10
72 	12:56:40 	12:28:40 	12:01:40 	11:35:40 	11:10:40
73 	13:11:20 	12:42:50 	12:15:20 	11:48:50 	11:23:20
74 	13:26:20 	12:57:10 	12:29:20 	12:02:20 	11:36:20
75 	13:41:30 	13:11:50 	12:43:20 	12:15:50 	11:49:20
76 	13:56:50 	13:26:40 	12:57:40 	12:29:40 	12:02:40
77 	14:12:20 	13:41:40 	13:12:10 	12:43:40 	12:16:10
78 	14:28:10 	13:57:00 	13:26:50 	12:57:50 	12:29:50
79 	14:44:10 	14:12:20 	13:41:40 	13:12:10 	12:43:40
80 	15:00:30 	14:28:00 	13:56:50 	13:26:40 	12:57:40
81 	15:17:00 	14:43:50 	14:12:10 	13:41:30 	13:11:50
82 	15:33:40 	15:00:00 	14:27:40 	13:56:20 	13:26:20
83 	15:50:30 	15:16:20 	14:43:20 	14:11:30 	13:40:50
84 	16:07:40 	15:32:50 	14:59:20 	14:27:00 	13:55:40
85 	16:25:10 	15:49:40 	15:15:30 	14:42:30 	14:10:50
86 	16:42:50 	16:06:40 	15:31:50 	14:58:20 	14:26:00
87 	17:00:40 	16:24:00 	15:48:30 	15:14:20 	14:41:30
88 	17:18:50 	16:41:30 	16:05:30 	15:30:40 	14:57:10
89 	17:37:20 	16:59:10 	16:22:30 	15:47:10 	15:13:00
90 	17:56:00 	17:17:10 	16:39:50 	16:03:50 	15:29:10
91 	18:14:50 	17:35:30 	16:57:30 	16:20:50 	15:45:30
92 	18:34:10 	17:54:00 	17:15:20 	16:38:00 	16:02:10
93 	18:53:30 	18:12:40 	17:33:20 	16:55:30 	16:19:00
94 	19:13:20 	18:31:50 	17:51:50 	17:13:10 	16:36:00
95 	19:33:20 	18:51:00 	18:10:20 	17:31:10 	16:53:20
96 	19:53:40 	19:10:40 	18:29:10 	17:49:20 	17:10:50
97 	20:14:10 	19:30:30 	18:48:20 	18:07:40 	17:28:30
98 	20:35:00 	19:50:30 	19:07:40 	18:26:20 	17:46:30
99 	20:56:10 	20:11:00 	19:27:20 	18:45:20 	18:04:50
100 	21:17:40 	20:31:40 	19:47:20 	19:04:30 	18:23:20
Suma 	948:17:50 	914:08:40 	881:14:40 	849:31:20 	818:57:20



Czasy budowy przy G³ównym budynku na poziomach 12-16
lvl 	GB 12 	GB 13 	GB 14 	GB 15 	GB 16
1 	1:40:20 	1:36:40 	1:33:10 	1:29:50 	1:26:40
2 	1:45:00 	1:41:10 	1:37:30 	1:34:00 	1:30:40
3 	1:49:50 	1:45:50 	1:42:00 	1:38:20 	1:34:50
4 	1:54:40 	1:50:30 	1:46:30 	1:42:40 	1:39:00
5 	1:59:40 	1:55:20 	1:51:10 	1:47:10 	1:43:20
6 	2:04:40 	2:00:10 	1:55:50 	1:51:40 	1:47:40
7 	2:09:40 	2:05:00 	2:00:30 	1:56:10 	1:52:00
8 	2:14:50 	2:10:00 	2:05:20 	2:00:50 	1:56:30
9 	2:20:10 	2:15:00 	2:10:10 	2:05:30 	2:01:00
10 	2:25:30 	2:20:10 	2:15:10 	2:10:20 	2:05:40
11 	2:30:50 	2:25:20 	2:20:10 	2:15:10 	2:10:10
12 	2:36:10 	2:30:40 	2:25:10 	2:20:00 	2:15:00
13 	2:41:50 	2:36:00 	2:30:20 	2:25:00 	2:19:40
14 	2:47:20 	2:41:20 	2:35:30 	2:30:00 	2:24:30
15 	2:53:00 	2:46:50 	2:40:50 	2:35:00 	2:29:30
16 	2:58:50 	2:52:20 	2:46:10 	2:40:10 	2:34:30
17 	3:04:40 	2:58:00 	2:51:40 	2:45:30 	2:39:30
18 	3:10:40 	3:03:40 	2:57:10 	2:50:40 	2:44:40
19 	3:16:40 	3:09:30 	3:02:40 	2:56:10 	2:49:50
20 	3:22:40 	3:15:20 	3:08:20 	3:01:40 	2:55:00
21 	3:28:50 	3:21:20 	3:14:10 	3:07:10 	3:00:20
22 	3:35:10 	3:27:20 	3:20:00 	3:12:40 	3:05:50
23 	3:41:30 	3:33:30 	3:25:50 	3:18:30 	3:11:20
24 	3:48:00 	3:39:40 	3:31:50 	3:24:10 	3:16:50
25 	3:54:30 	3:46:00 	3:37:50 	3:30:00 	3:22:30
26 	4:01:10 	3:52:20 	3:44:00 	3:36:00 	3:28:10
27 	4:07:50 	3:58:50 	3:50:20 	3:42:00 	3:34:00
28 	4:14:40 	4:05:30 	3:56:40 	3:48:10 	3:39:50
29 	4:21:30 	4:12:10 	4:03:00 	3:54:20 	3:45:50
30 	4:28:30 	4:18:50 	4:09:30 	4:00:30 	3:51:50
31 	4:35:40 	4:25:40 	4:16:10 	4:06:50 	3:58:00
32 	4:42:50 	4:32:40 	4:22:50 	4:13:20 	4:04:10
33 	4:50:10 	4:39:40 	4:29:40 	4:19:50 	4:10:30
34 	4:57:30 	4:46:50 	4:36:30 	4:26:30 	4:17:00
35 	5:05:00 	4:54:00 	4:43:30 	4:33:20 	4:23:20
36 	5:12:40 	5:01:20 	4:50:30 	4:40:00 	4:30:00
37 	5:20:20 	5:08:50 	4:57:40 	4:47:00 	4:36:40
38 	5:28:10 	5:16:20 	5:05:00 	4:54:00 	4:43:20
39 	5:36:10 	5:24:00 	5:12:20 	5:01:10 	4:50:20
40 	5:44:10 	5:31:50 	5:19:50 	5:08:20 	4:57:10
41 	5:52:20 	5:39:40 	5:27:20 	5:15:40 	5:04:20
42 	6:00:30 	5:47:40 	5:35:10 	5:23:00 	5:11:20
43 	6:09:00 	5:55:40 	5:42:50 	5:30:30 	5:18:40
44 	6:17:30 	6:03:50 	5:50:50 	5:38:10 	5:26:00
45 	6:26:10 	6:12:10 	5:58:50 	5:45:50 	5:33:30
46 	6:34:50 	6:20:40 	6:07:00 	5:53:40 	5:41:00
47 	6:43:40 	6:29:10 	6:15:10 	6:01:40 	5:48:40
48 	6:52:40 	6:37:50 	6:23:30 	6:09:40 	5:56:20
49 	7:01:50 	6:46:40 	6:32:00 	6:17:50 	6:04:20
50 	7:11:00 	6:55:30 	6:40:40 	6:26:10 	6:12:20
51 	7:20:30 	7:04:40 	6:49:20 	6:34:30 	6:20:20
52 	7:30:00 	7:13:40 	6:58:10 	6:43:10 	6:28:30
53 	7:39:40 	7:23:00 	7:07:10 	6:51:40 	6:36:50
54 	7:49:20 	7:32:30 	7:16:10 	7:00:30 	6:45:20
55 	7:59:20 	7:42:00 	7:25:20 	7:09:20 	6:53:50
56 	8:09:20 	7:51:40 	7:34:40 	7:18:20 	7:02:30
57 	8:19:30 	8:01:30 	7:44:10 	7:27:30 	7:11:20
58 	8:29:50 	8:11:30 	7:53:50 	7:36:40 	7:20:20
59 	8:40:20 	8:21:40 	8:03:30 	7:46:10 	7:29:20
60 	8:51:00 	8:31:50 	8:13:20 	7:55:40 	7:38:30
61 	9:01:40 	8:42:10 	8:23:30 	8:05:20 	7:47:50
62 	9:12:40 	8:52:40 	8:33:30 	8:15:10 	7:57:20
63 	9:23:40 	9:03:30 	8:43:50 	8:25:00 	8:06:50
64 	9:35:00 	9:14:20 	8:54:20 	8:35:00 	8:16:30
65 	9:46:20 	9:25:10 	9:04:50 	8:45:20 	8:26:20
66 	9:57:50 	9:36:20 	9:15:40 	8:55:40 	8:36:20
67 	10:09:40 	9:47:40 	9:26:30 	9:06:10 	8:46:30
